time;sn_hour_avg;sm_hour_avg;sx_hour_avg;dn_hour_avg;dm_hour_avg;dx_hour_avg;ta_hour_avg;pa_hour_avg;
2017-12-05 17:00:00+01;0.74;2.50;4.29;206.00;266.00;250.00;2.15;996.53;
2017-12-05 18:00:00+01;1.02;3.14;5.25;212.00;267.00;265.00;2.94;996.34;
2017-12-05 19:00:00+01;0.84;2.96;5.38;195.00;267.00;255.00;3.38;996.24;
2017-12-05 20:00:00+01;0.98;3.48;6.13;211.00;277.00;225.00;3.50;996.25;
2017-12-05 21:00:00+01;0.98;3.64;6.45;215.00;277.00;222.00;3.71;996.36;
2017-12-05 22:00:00+01;1.08;3.56;6.18;216.00;279.00;246.00;3.82;996.13;
2017-12-05 23:00:00+01;;;;;;;;;
2017-12-06 00:00:00+01;0.92;3.75;6.89;199.00;266.00;262.00;4.14;995.90;
2017-12-06 01:00:00+01;1.07;4.04;7.26;199.00;264.00;242.00;4.18;996.02;
2017-12-06 02:00:00+01;1.08;4.00;7.23;205.00;269.00;208.00;4.06;996.16;
2017-12-06 03:00:00+01;0.97;3.83;7.18;200.00;270.00;224.00;3.86;996.01;
2017-12-06 04:00:00+01;1.06;4.07;7.63;196.00;266.00;250.00;4.02;996.03;
2017-12-06 05:00:00+01;1.01;3.98;7.25;199.00;266.00;246.00;4.22;996.16;
2017-12-06 06:00:00+01;1.22;3.98;7.14;196.00;259.00;259.00;4.10;996.21;
2017-12-06 07:00:00+01;1.17;3.85;6.80;194.00;260.00;245.00;4.35;996.35;
2017-12-06 08:00:00+01;1.21;4.24;7.44;194.00;256.00;262.00;4.48;996.50;
2017-12-06 09:00:00+01;1.55;5.29;9.14;202.00;253.00;268.00;4.71;996.42;
2017-12-06 10:00:00+01;1.38;5.23;9.37;190.00;258.00;214.00;4.87;996.40;
2017-12-06 11:00:00+01;1.27;4.72;8.46;194.00;259.00;256.00;4.70;996.15;
2017-12-06 12:00:00+01;1.30;5.08;8.78;195.00;254.00;246.00;4.80;995.65;
2017-12-06 13:00:00+01;1.21;4.59;8.22;192.00;259.00;216.00;5.06;995.46;
2017-12-06 14:00:00+01;1.13;4.30;8.10;195.00;265.00;244.00;5.10;995.44;
2017-12-06 15:00:00+01;1.11;3.75;6.87;191.00;260.00;255.00;4.79;995.80;
2017-12-06 16:00:00+01;1.00;3.86;6.86;196.00;266.00;239.00;4.34;996.14;
2017-12-06 17:00:00+01;1.18;3.95;6.75;195.00;256.00;275.00;3.68;996.26;
2017-12-06 18:00:00+01;1.27;4.35;7.37;198.00;252.00;246.00;3.31;996.30;
2017-12-06 19:00:00+01;1.17;3.88;6.72;195.00;257.00;273.00;3.36;996.31;
2017-12-06 20:00:00+01;0.80;3.24;5.85;187.00;258.00;277.00;3.31;996.24;
2017-12-06 21:00:00+01;1.02;3.39;6.06;188.00;259.00;271.00;3.25;996.27;
2017-12-06 22:00:00+01;0.83;3.31;6.00;184.00;260.00;263.00;3.50;996.41;
